Episode,RadicalProfit,ConservativeProfit,RadicalDeliveryRate,ConservativeDeliveryRate,RadicalAvgLoan,ConservativeAvgLoan,RadicalLandCost,ConservativeLandCost
1,295821.9000,241413.3000,1.000000,1.000000,0.0000,0.0000,64517.6000,57308.7000
2,293307.3000,238932.6000,1.000000,1.000000,0.0000,0.0000,64902.6200,57426.4100
3,276729.0000,223916.4000,1.000000,1.000000,0.0000,0.0000,65279.1100,57541.1200
4,285591.9000,231426.7000,1.000000,1.000000,0.0000,0.0000,65649.6800,57653.6900
5,285315.4000,230814.3000,1.000000,1.000000,0.0000,0.0000,66016.7000,57764.9500
6,276990.8000,223173.4000,1.000000,1.000000,0.0000,0.0000,66386.3000,57876.8700
7,290724.6000,234944.9000,1.000000,1.000000,0.0000,0.0000,66758.1300,57989.3900
8,289733.8000,233560.9000,1.000000,1.000000,0.0000,0.0000,67138.0800,58104.3900
9,286419.3000,230485.2000,1.000000,1.000000,0.0000,0.0000,67515.0600,58218.2400
10,285274.4000,229288.8000,1.000000,1.000000,0.0000,0.0000,67886.1800,58330.0800
11,287424.4000,230850.2000,1.000000,1.000000,0.0000,0.0000,68265.7000,58444.5200
12,268798.4000,214869.1000,1.000000,1.000000,0.0000,0.0000,68624.9200,58552.3000
13,291862.5000,234565.7000,1.000000,1.000000,0.0000,0.0000,68992.8400,58662.8900
14,288593.7000,231592.9000,1.000000,1.000000,0.0000,0.0000,69373.1300,58777.4300
15,288430.4000,231447.9000,1.000000,1.000000,0.0000,0.0000,69749.9100,58890.7400
16,285733.3000,229153.6000,1.000000,1.000000,0.0000,0.0000,70127.9300,59004.4600
17,280656.8000,224924.3000,1.000000,1.000000,0.0000,0.0000,70497.7000,59115.6200
18,284278.6000,227619.9000,1.000000,1.000000,0.0000,0.0000,70871.0800,59227.7700
19,293256.6000,235183.0000,1.000000,1.000000,0.0000,0.0000,71247.5600,59340.8100
20,275855.4000,220656.0000,1.000000,1.000000,0.0000,0.0000,71620.1900,59452.7500
